img,brand,title,gender,volume,price,description
https://lh3.googleusercontent.com/gSXgWoFUICsl7mvq9Tk42JU8z7ZR2wxGTkbuRrHg0sFwR1aQ2AvqM4pD7sXu3Ceos3fzEbqh-3motJgMxmg3tlbDYvVW_98-U44HRNwr6xVDrYMYKWCYCcHr6DNlNJzeZyTAvyVidv7293TCbOBzuZchlFY7dWiL-aC7nMfMj2Yiixgl5QWNPfqPu5lcKGlegGZk0PawBPuKyfEqBlGB33aP0f29_WOURKQTxU7ir_cRjHs1YOG3N3IaFl30c7Re1v55gLJFxgh_C1c4_Tz6ejQtnwFOQ9Knbu7uOgWsrljf8zu3ZFJTWs3HiIpIhfV4HoAwddCw0f4Oyvxb8r3S89ZXLLQBWYuo8Y_f8ktIzjNwv1HwNSgT2_sBLCzfX93zp-4g9ljWiwJZgwN97e-s8P7IS5snZxt_QFrTaOxgDtb8VKedHSUtywZhLfrmDqJqVa0gycF8G6BZBdxYu8P5xzGl-3nxpG6NeaiLC9Q-vR1yp6hNnZwZuEiFqtZLMhI3mjx-LjC09jQJinPt-Ym0_Tc1QqMc0fIg4EwafMcb47qRihhWYvf3lZ06jwJZ-xaqlc_-ZfRmAM-NoVQtK7i9MUDwiZmjb1gUeiByzuu3jWVSyFEghaW8_rs_w06GD0OetLjIiiiIbTXNWz8O-5kDbE9M9g1XVss=w375-h500-no,Carolina Herrera,212 Men,male,100,440,212 MEN contrasts the energetic green freshness with the sensual warmth of the spices in the peppery heart of the scent. The warm personalities of sandalwood and gaiac wood accentuate its masculine base.
https://lh3.googleusercontent.com/dDFruj0-8cs6PSdLCvUDud4Z1ctUiZqf8zeF2nm98MkSszWkpU48rKEdjNA9Zjfv9IldlZGeYKc65xgC2Fu25oXKpuaXuLf-VrSL3rhN7w8t10X1V8y5WJf-__KvpcI8kAXS-22665ud_4OwyiiFV1OhCnR3-SoTxdG9_9pW2bXqQlBed_hRWVXeWhUD88Fiokbc-lMhgLeOQsT8NP19ccLBWG3o75LXlu6-5McrJ-37OxIyOvKqpQUiegjxZte0yg13Uo5cJiRywUZLoW9BwRu60XJBiG04Xdw9M8qnGYrbp5QvUlFuYX6c4xETe-029yyWiRMJJ7OlnHHX53UHK6qP97G_Z4NAB4WnZebyCw3RrTMTW8F9PRG7xgrpzcZ3WhsBL3-2am4Rl33SmbBDbxvNPUWGREzj738j7wTncswAnrLj6PTwEqKs8m5zOOT_8i8p32q_VvqyxVBUoN0qTJ5yWcDmTS5PoT6xmszCWSa3_FRxmr4O_pxyye62xim1kS9zdiqrBzcAUI6ecJuC_VXiY3oQowfOcCyQ11_kG9een3daR0GHrCmXTIdHwXTETvMAnWEqf-s2REO4ETffmjd7qqK17oIlEVIZwtlS2LneTKs7tpPLVpx8a5nPTwIRWWgpN3DvqV-LPRSBu3jt84QLMUUoLzc=w375-h500-no,Carolina Herrera,212 Men Aqua,male,100,440,"Carolina Herrera 212 Men Aqua is classified as Woody Aromatic fragrance. Scent notes of 212 Men Aqua Carolina Herrera include top notes of citrus bergamia, grapefruit, marine, ginger, middle notes of gardenia, green cardamom, cypriol, ambroxan and base notes of musk, rosewood, patchouli, sandalwood, vetiver."
https://lh3.googleusercontent.com/QFwn5AcmFhLH69T7O2Dahdo2ud88sLV9n9E6DXNN5q3kGPea7Cu3F36IFzbuvb9_79wA78PdI-xWqs8q5A1ineNOeYH7XARBpD5g_ni52dTAkXEFO1XboApPfgXYALcjBJdaFqvgYn6iZQt1g27RJA0WitpCmQDYqKqC889LvmfRkgdREEiiVyOTVKtIoyCwoRolCuO5EJMo95ipngJOrViGt2nnKOx3neS8qAVBDl27MetTKgEOnQh920RpgjEvDgPufb6Dd2g9WFWYjj-kkwQdiCny_0kYk63Hc-0cOjp3n5yiZYvbnNvdfOSaxqQHonTSztFSgNCTDvP-fmtHJ1Q7ed-l12Y73ptTj2PaA6f13dbo0Hxb-iQREzI-hVJPakIgco7jZVzvfCRHIE7VLL3ovOX77v7yfgrcyjKSeDM_XYYkp_twQasKUd4w_BXNw0xFwWqkPTNr2GoPUeJdLoEMGBs1Oq9QqXdAqLJ1tZYQA6UxrDCCdeAaGflM5tkc3JwsoTxacZ78LYMy9zXXQn9GbOiDblAs4fApTLe147IttzC-lsw8IyhV3kLGnVmVHl5KR26ELoYI9B_474dzarQuqxfAud53OEoypEkcu2RRGpe0xJW0hs2L1tA0_MAK-DLi3PGkszTieUo_ZfdPAd0xrUDkaBw=w375-h500-no,Carolina Herrera,212 Sexy,male,100,440,"Masculine and sexy, this magnetic fragrance opens with the energy and freshness of mandarin and bergamot. The warm masculinity reveals itself within the oriental character of the base notes with amber and woods mixed with vanilla."
